neighborhood,name,lat,lon,address,categories,has_cuisine_tag,cuisine_raw,has_opening_hours,opening_hours_raw,has_price_signal,price_signal_raw
Back Bay,Wen's Yunnan Noodle & Ramen,42.3497387,-71.0826974,"Wen's Yunnan Noodle & Ramen, 247 Newbury Street, Boston, MA 02116, United States of America",catering;catering.restaurant;wheelchair;wheelchair.limited,False,,False,,False,
Back Bay,CAVA,42.3499229,-71.0788193,"CAVA, 669 Boylston Street, Boston, MA 02116, United States of America",catering;catering.restaurant;catering.restaurant.mediterranean,True,mediterranean,True,Mo-Su 10:45-20:00,False,
Back Bay,Double Zero,42.3508468,-71.0787948,"Double Zero, 163 Newbury Street, Boston, MA 02116, United States of America",catering;catering.restaurant;catering.restaurant.pizza;vegan,True,pizza,False,,False,
Back Bay,Sakabayashi Sushi Tavern by SUSHIRO,42.3499391,-71.0787197,"Sakabayashi Sushi Tavern by SUSHIRO, 665 Boylston Street, Boston, MA 02116, United States of America",catering;catering.restaurant;catering.restaurant.sushi,True,sushi,True,Mo-Su 11:30-15:00; mo-th 17:00-22:00; fr 17:00-22:30,False,
Back Bay,Cha Feo,42.3493675,-71.0825335,"Cha Feo, 248 Newbury Street, Boston, MA 02116, United States of America",access;access.yes;catering;catering.restaurant,True,bubble_tea,False,,False,
Back Bay,City Table,42.3490394,-71.0794633,"City Table, 65 Exeter Street, Boston, MA 02116, United States of America",catering;catering.restaurant,False,,True,"Mo-Fr 07:00-11:00, Sa,Su 07:00-15:00, Mo-Su 16:30-18:00+",False,
Back Bay,Lobstah on a Roll,42.3493147,-71.082737,"Lobstah on a Roll, 254 Newbury Street, Boston, MA 02116, United States of America",catering;catering.restaurant,True,seafood;lobster,False,,False,
Back Bay,The Capital Burger,42.3508777,-71.0785765,"The Capital Burger, 159 Newbury Street, Boston, MA 02116, United States of America",catering;catering.restaurant;catering.restaurant.burger;wheelchair;wheelchair.yes,True,burger,False,,False,
Back Bay,Luke's Lobster Back Bay,42.3487872,-71.07932,"Luke's Lobster Back Bay, 75 Exeter Street, Boston, MA 02116, United States of America",catering;catering.restaurant;catering.restaurant.seafood;wheelchair;wheelchair.yes,True,seafood,True,Su-We 11:00-21:00; Th-Sa 11:00-22:00,False,
Back Bay,La Voile,42.3495859,-71.0832858,"La Voile, 261 Newbury Street, Boston, MA 02116, United States of America",catering;catering.restaurant,False,,False,,False,
